"#",PROG CODE,INSTITUTION NAME,PROGRAMME NAME,2015 CUTOFF,2016 CUTOFF,2017 CUTOFF,2018 CUTOFF,2019 CUTOFF,2020 CUTOFF,2021 CUTOFF
BACHELOR OF ARTS,,,,,,,,,,
13,1253112,MOI UNIVERSITY,BACHELOR OF SCIENCE (BIOCHEMISTRY),41.972,37.409,29.568,24.886,29.665,29.265,28.838
14,1263112,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (BIOCHEMISTRY),42.966,40.207,28.144,36.141,38.152,34.691,36.603
15,1515112,TOM MBOYA UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (BIOCHEMISTRY),-,-,-,25.117,-,-,-
16,1063112,TECHNICAL UNIVERSITY OF MOMBASA,BACHELOR OF SCIENCE IN BIOCHEMISTRY,-,-,-,-,28.247,26.724,17.459
17,1079112,KIRINYAGA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY,-,-,-,25.752,-,16.791,17.459
18,1114112,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN BIOCHEMISTRY,31.632,33.746,-,26.588,26.246,26.235,17.459
19,1240112,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE IN BIOCHEMISTRY,-,-,-,-,24.598,16.791,17.459
20,1244112,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN BIOCHEMISTRY,36.452,25.547,-,25.111,26.909,16.791,17.459
21,1229112,MASENO UNIVERSITY,"BACHELOR OF SCIENCE (BIOCHEMISTRY, WITH IT)",-,-,-,24.367,28.15,28.674,28.679
BACHELOR OF SCIENCE (GEOLOGY),,,,,,,,,,
1,1166113,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (GEOLOGY),23,23.571,-,23.942,28.672,17.674,17.802
2,1263113,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (GEOLOGY),34.972,34.979,31.293,30.591,32.49,24.712,17.802
3,1173113,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE IN GEOLOGY,-,-,25.2,26.792,26.748,26.341,17.802
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY WITH MANAGEMENT),,,,,,,,,,
